,brand,model,top_speed_kmh,battery_capacity_kWh,battery_type,torque_nm,efficiency_wh_per_km,range_km,acceleration_0_100_s,fast_charging_power_kw_dc,fast_charge_port,towing_capacity_kg,cargo_volume_l,seats,drivetrain,segment,car_body_type,estimated_range,range_diff_pct,range_per_kWh,speed_efficiency_ratio,performance_index,range_category,charge_rate_kw_per_kWh,eco_score,battery_capacity_binned,range_binned,battery_capacity_binarized,range_binarized
231,Mercedes-Benz,EQE SUV 300,210,90.6,Lithium-ion,550.0,182,450,7.6,141.0,CCS,750.0,520,5,RWD,JE - Executive,SUV,497.8021978021978,10.622710622710619,4.966887417218543,1.1538461538461537,27.63157894736842,Mesatar,1.556291390728477,2.855913344236802,3,2,1.0,1
232,Mercedes-Benz,EQE SUV 350 4MATIC,210,90.6,Lithium-ion,765.0,189,435,6.6,141.0,CCS,1800.0,520,5,AWD,JE - Executive,SUV,479.36507936507934,10.198868819558468,4.801324503311259,1.1111111111111112,31.81818181818182,Mesatar,1.556291390728477,2.764298615291993,3,2,1.0,1
233,Mercedes-Benz,EQE SUV 350+,210,96.0,Lithium-ion,565.0,164,475,6.9,141.0,CCS,750.0,520,5,RWD,JE - Executive,SUV,585.3658536585366,23.234916559691914,4.947916666666667,1.2804878048780488,30.434782608695652,Mesatar,1.46875,2.887090182043125,3,3,1.0,1
234,Mercedes-Benz,EQE SUV 500 4MATIC,210,96.0,Lithium-ion,858.0,187,455,4.9,141.0,CCS,1800.0,520,5,AWD,JE - Executive,SUV,513.3689839572193,12.828348122465771,4.739583333333333,1.1229946524064172,42.857142857142854,Mesatar,1.46875,2.747506388919204,3,2,1.0,1
235,Mercedes-Benz,EQE SUV AMG 43 4MATIC,210,90.6,Lithium-ion,858.0,214,425,4.3,141.0,CCS,1800.0,520,5,AWD,JE - Executive,SUV,423.3644859813084,0.38482682792743406,4.690949227373069,0.9813084112149533,48.83720930232558,Mesatar,1.556291390728477,2.686378764957997,3,2,1.0,1
236,Mercedes-Benz,EQE SUV AMG 53 4MATIC+,240,90.6,Lithium-ion,1000.0,242,420,3.5,141.0,CCS,1800.0,520,5,AWD,JE - Executive,SUV,374.3801652892562,10.861865407319957,4.635761589403974,0.9917355371900827,68.57142857142857,Mesatar,1.556291390728477,2.6725443130018687,3,2,1.0,1
237,Mercedes-Benz,EQS 350,210,96.0,Lithium-ion,565.0,165,570,6.7,130.0,CCS,750.0,620,5,RWD,F - Luxury,Sedan,581.8181818181819,2.0733652312599773,5.9375,1.2727272727272727,31.34328358208955,Gjatë,1.3541666666666667,3.3804189280868386,3,3,1.0,1
238,Mercedes-Benz,EQS 450 4MATIC,210,118.0,Lithium-ion,800.0,180,655,5.7,160.0,CCS,1700.0,620,5,AWD,F - Luxury,Sedan,655.5555555555555,0.08481764206954853,5.5508474576271185,1.1666666666666667,36.84210526315789,Gjatë,1.3559322033898304,3.160511448111805,4,4,1.0,1
239,Mercedes-Benz,EQS 450+,210,118.0,Lithium-ion,568.0,173,685,6.2,160.0,CCS,750.0,620,5,RWD,F - Luxury,Sedan,682.0809248554913,0.4261423568625875,5.805084745762712,1.2138728323699421,33.87096774193548,Gjatë,1.3559322033898304,3.2989622871084676,4,4,1.0,1
240,Mercedes-Benz,EQS 500 4MATIC,210,118.0,Lithium-ion,828.0,180,640,4.9,160.0,CCS,1700.0,620,5,AWD,F - Luxury,Sedan,655.5555555555555,2.4305555555555536,5.423728813559322,1.1666666666666667,42.857142857142854,Gjatë,1.3559322033898304,3.1026807333102733,4,4,1.0,1
241,Mercedes-Benz,EQS 580 4MATIC,210,118.0,Lithium-ion,858.0,180,640,4.4,160.0,CCS,1700.0,620,5,AWD,F - Luxury,Sedan,655.5555555555555,2.4305555555555536,5.423728813559322,1.1666666666666667,47.72727272727273,Gjatë,1.3559322033898304,3.1073189522342064,4,4,1.0,1
242,Mercedes-Benz,EQS AMG 53 4MATIC+,250,118.0,Lithium-ion,1020.0,222,585,3.4,160.0,CCS,1700.0,620,5,AWD,F - Luxury,Sedan,531.5315315315315,9.13990913990914,4.9576271186440675,1.1261261261261262,73.52941176470588,Gjatë,1.3559322033898304,2.875474926571636,4,4,1.0,1
